,S-ZORB.AT_5201.PV,S-ZORB.AT_1001.DACA,S-ZORB.TC_2801.PV,S-ZORB.FT_1003.PV,S-ZORB.PDC_2702.DACA,S-ZORB.FT_9201.PV,S-ZORB.PT_2901.DACA,S-ZORB.FT_3702.DACA,S-ZORB.SIS_PT_6007.PV,S-ZORB.TE_1106.DACA,S-ZORB.LI_2107.DACA,S-ZORB.FT_5102.DACA.PV,S-ZORB.PDI_2102.PV,S-ZORB.TE_1001.PV,S-ZORB.AT_1001.PV,S-ZORB.FT_1503.DACA.PV,S-ZORB.FT_9401.PV,S-ZORB.FC_1102.PV,S-ZORB.FC_1203.PV,S-ZORB.TE_9301.PV,S-ZORB.LC_1203.DACA,S-ZORB.FT_3001.DACA,S-ZORB.BS_LT_2401.PV,S-ZORB.TE_1501.DACA,S-ZORB.AT_6201.DACA,S-ZORB.FT_9101.PV,S-ZORB.FT_5102.PV,S-ZORB.SIS_TE_2802
name,精制汽油出装置硫含量,原料汽油硫含量,还原器温度,2#催化汽油进装置流量,再生器底部与再生接收器压差,循环水进装置流量,ME-103反吹气总管压力,闭锁料斗H2过滤器出口气流量,空气预热器烟气出口压力,E-101A壳程出口管温度,TAG表和PID图未见PDI-2107点，是否为DI-2107,D-201含硫污水排量,反应过滤器压差,原料进装置温度,进装置原料硫含量,8.0MPa氢气至循环氢压缩机入口,净化风进装置流量,混氢点氢气流量,D121去稳定塔流量,1.0MPa蒸汽进装置温度,D-121水液位,D-113顶放空线流量,闭锁料斗液位,D-122入口管温度,非净化风干燥后露点温度,污油出装置,,D-102温度
range,0-5,1.5-645,200-350,0-75,10-40,250-900,485-590,0-60,-1500-（-100）,100-200,-3-(9),0-420,10-35,35-80,1.5-650,60-5500000,25-900,5500-9000,5-15,150-250,35-55,15-250,2.5-62.5,20-30,-50-20,0-85,0-450,250-350
unit,μg/g,,℃,t/h,,kg/h,,,Pa,℃,,,KPa,℃,mg/kg,,Nm3/h,Nm3/h,t/h,℃,%,,,℃,℃,t/h,,℃
delta,1.0,10.0,1.0,5.0,5.0,50.0,1.0,5.0,100.0,1.0,1.0,10.0,1.0,1.0,10.0,10000.0,50.0,100.0,1.0,1.0,2.0,10.0,5.0,1.0,1.0,5.0,10.0,1.0
r1,0.0,1.5,200.0,0.0,10.0,250.0,485.0,0.0,-1500.0,100.0,-3.0,0.0,10.0,35.0,1.5,60.0,25.0,5500.0,5.0,150.0,35.0,15.0,2.5,20.0,-50.0,0.0,0.0,250.0
r2,5.0,645.0,350.0,75.0,40.0,900.0,590.0,60.0,-100.0,200.0,9.0,420.0,35.0,80.0,650.0,5500000.0,900.0,9000.0,15.0,250.0,55.0,250.0,62.5,30.0,20.0,85.0,450.0,350.0
feature_importance,0.16725917097920473,0.01202773349394491,0.011962417879554484,0.011003066099570894,0.010096700209356348,0.009643305929351016,0.008595296848486355,0.008153702153602912,0.007841550357051332,0.007491728460775894,0.007141466384483999,0.0068209293074856835,0.006305021525024134,0.006092054681024627,0.00602656663343095,0.005895805174430476,0.005695578833245711,0.005558978282783396,0.0054030054943325495,0.005317426523445291,0.0051326273833197265,0.005004523214687384,0.004949515634404884,0.0049412886088978135,0.004788216625279403,0.0047645738917422445,0.004712824476665147,0.004446161025252389
