iter	RMSE
0	0.2295398559
1	0.2284271887
2	0.2272976543
3	0.2262387177
4	0.2251697879
5	0.2241873548
6	0.2230622006
7	0.2221517255
8	0.2210541087
9	0.2201491237
10	0.2190395967
11	0.2180876053
12	0.2170023106
13	0.2158308869
14	0.2147715205
15	0.213886893
16	0.212702463
17	0.2115874758
18	0.210702248
19	0.2096141313
20	0.2086281158
21	0.2077171384
22	0.2068623988
23	0.2058859836
24	0.2048382453
25	0.2039245472
26	0.2029608438
27	0.2019767854
28	0.2010083768
29	0.2000111888
30	0.1990324581
31	0.1980877727
32	0.1971553359
33	0.1961301962
34	0.1953391173
35	0.1944354398
36	0.1937044986
37	0.1928208293
38	0.1918324995
39	0.1908250717
40	0.1898447383
41	0.1888512116
42	0.1880686954
43	0.1872176944
44	0.1863941198
45	0.18549305
46	0.1845965333
47	0.1835978265
48	0.1828305322
49	0.1820695339
50	0.1812818064
51	0.1804203929
52	0.1795423983
53	0.1787786963
54	0.1780169864
55	0.1772194483
56	0.1763692938
57	0.1756545891
58	0.1749603137
59	0.1740579288
60	0.1733205027
61	0.1725452319
62	0.1717352359
63	0.1711570973
64	0.1705068037
65	0.1698413982
66	0.1691655018
67	0.168399748
68	0.1676833716
69	0.1669883593
70	0.1663819476
71	0.165626096
72	0.1649919738
73	0.1643413612
74	0.163632606
75	0.1630721817
76	0.1625469146
77	0.1618595888
78	0.1611982969
79	0.1605148918
80	0.1598952105
81	0.159248415
82	0.1584711476
83	0.157841129
84	0.1572023389
85	0.1565755053
86	0.1560771623
87	0.1554274705
88	0.1547792915
89	0.154050588
90	0.1534886362
91	0.152944669
92	0.1522392035
93	0.151505717
94	0.1509443152
95	0.1503770876
96	0.1496953871
97	0.1490635318
98	0.1484594612
99	0.1479208605
100	0.1473243047
101	0.1467443202
102	0.1461185427
103	0.1455833275
104	0.1450341947
105	0.1444279185
106	0.1437144884
107	0.1431238455
108	0.1425425835
109	0.1419051977
110	0.1413357911
111	0.1407000524
112	0.140127867
113	0.1396525116
114	0.1391616862
115	0.1385813754
116	0.1380911673
117	0.1374989124
118	0.1369603973
119	0.1364195246
120	0.1359109896
121	0.1353884056
122	0.1348947465
123	0.1343489813
124	0.1338043016
125	0.133214521
126	0.1328293187
127	0.1323113338
128	0.1316654146
129	0.1311018894
130	0.130637924
131	0.1301741688
132	0.1296560388
133	0.1291293192
134	0.1287002258
135	0.1282039565
136	0.1277455979
137	0.1272692971
138	0.1268308763
139	0.1263424671
140	0.1258547047
141	0.1254096747
142	0.1250048524
143	0.1244247792
144	0.1239234047
145	0.1233972646
146	0.1228346903
147	0.1222925444
148	0.1217078518
149	0.1211350444
150	0.1205901237
151	0.1201383769
152	0.1196822733
153	0.1192646317
154	0.1188127797
155	0.118279732
156	0.1178848692
157	0.1175451618
158	0.1170754266
159	0.1167731002
160	0.1162555519
161	0.1158553701
162	0.1154854402
163	0.1150654548
164	0.1146495333
165	0.1142612584
166	0.1139998686
167	0.1135624768
168	0.1131299216
169	0.1128592124
170	0.1123784459
171	0.1120017838
172	0.1114916306
173	0.1111440237
174	0.1107204401
175	0.1102133672
176	0.109849113
